Data,Kategoria,Wiek_Klienta,Wartosc_Zamowienia,Typ_Urzadzenia,Ocena_Produktu
2025-09-21,Akcesoria,43,166.21,Mobile,4
2025-02-04,Audio,22,435.34,Mobile,5
2025-07-25,Akcesoria,37,143.73,Mobile,5
2025-03-22,Smartfony,35,2233.51,Mobile,5
2025-02-19,Laptopy,35,4980.26,Desktop,4
2025-12-26,Smartfony,37,2999.248,Mobile,5
2025-01-02,Akcesoria,50,132.81,Mobile,4
2025-02-23,Smartfony,25,2282.38,Mobile,5
2025-04-16,Akcesoria,32,130.48,Mobile,4
2025-09-17,Akcesoria,49,157.19,Desktop,5
2025-11-06,Audio,38,736.358,Mobile,4
2025-07-10,Laptopy,46,3033.43,Mobile,3
2025-08-06,Akcesoria,22,144.8,Mobile,5
2025-02-13,Smartfony,28,1783.61,Mobile,5
2025-06-11,Akcesoria,35,195.43,Desktop,4
2025-07-21,Smartfony,26,3107.39,Desktop,3
2025-09-27,Laptopy,31,4973.36,Desktop,4
2025-12-17,Akcesoria,48,206.55599999999998,Desktop,3
2025-10-31,Smartfony,26,2167.85,Mobile,5
2025-09-28,Smartfony,18,3288.39,Desktop,5
2025-08-03,Akcesoria,50,127.22,Mobile,5
2025-09-09,Akcesoria,34,118.83,Mobile,4
2025-07-09,Akcesoria,28,170.45,Desktop,4
2025-10-23,Akcesoria,30,133.98,Mobile,3
2025-08-01,Akcesoria,28,167.23,Desktop,4
2025-07-27,Smartfony,23,2558.45,Mobile,4
2025-08-25,Laptopy,54,4774.13,Desktop,5
2025-12-04,Smartfony,18,4005.554,Desktop,1
2025-02-22,Audio,58,641.92,Desktop,4
2025-10-07,Akcesoria,33,187.27,Desktop,4
2025-08-05,Laptopy,41,4984.67,Desktop,4
2025-09-09,Laptopy,60,3283.12,Mobile,3
2025-07-07,Audio,43,405.82,Mobile,5
2025-02-10,Smartfony,18,2352.69,Mobile,5
2025-06-06,Akcesoria,54,177.2,Desktop,4
2025-01-15,Akcesoria,42,140.04,Mobile,4
2025-10-28,Akcesoria,35,209.36,Desktop,4
2025-03-06,Smartfony,25,2243.29,Mobile,5
2025-12-11,Audio,36,712.838,Mobile,3
2025-11-23,Audio,40,911.6239999999999,Desktop,2
2025-01-09,Akcesoria,55,130.31,Mobile,5
2025-12-10,Akcesoria,35,192.374,Mobile,4
2025-05-09,Audio,43,543.2,Mobile,4
2025-05-16,Akcesoria,23,205.85,Desktop,4
2025-03-04,Smartfony,28,3124.77,Desktop,5
2025-05-19,Akcesoria,51,132.98,Mobile,3
2025-03-22,Akcesoria,34,124.4,Mobile,5
2025-06-12,Laptopy,37,3706.67,Mobile,4
2025-10-16,Akcesoria,33,166.39,Desktop,1
2025-09-18,Audio,19,730.79,Desktop,2
2025-08-19,Audio,51,569.24,Mobile,5
2025-02-10,Laptopy,36,3513.42,Mobile,4
2025-01-28,Smartfony,27,2092.43,Mobile,3
2025-05-15,Audio,25,588.88,Desktop,4
2025-07-20,Akcesoria,47,197.16,Desktop,5
2025-11-24,Smartfony,19,3291.162,Mobile,4
2025-09-25,Audio,18,565.66,Mobile,5
2025-02-02,Audio,56,446.32,Mobile,3
2025-02-17,Akcesoria,34,200.7,Desktop,4
2025-03-03,Akcesoria,37,128.02,Mobile,5
2025-08-04,Laptopy,48,4684.48,Desktop,4
2025-10-20,Smartfony,33,2732.68,Desktop,3
2025-04-09,Laptopy,44,2885.22,Mobile,4
2025-06-21,Akcesoria,39,152.36,Mobile,4
2025-12-26,Smartfony,31,3600.31,Mobile,4
2025-08-02,Laptopy,44,4733.79,Desktop,2
2025-02-04,Laptopy,37,4528.25,Desktop,5
2025-08-15,Akcesoria,45,174.34,Desktop,5
2025-04-11,Audio,59,519.02,Mobile,5
2025-05-11,Laptopy,52,3120.06,Mobile,5
2025-09-14,Laptopy,38,4683.1,Desktop,4
2025-01-05,Akcesoria,25,182.3,Desktop,4
2025-08-06,Laptopy,45,4007.26,Mobile,4
2025-09-12,Smartfony,21,3003.56,Desktop,4
2025-12-25,Laptopy,48,5837.244,Desktop,4
2025-10-10,Smartfony,21,2338.39,Mobile,5
2025-07-26,Smartfony,18,2936.02,Desktop,5
2025-01-15,Laptopy,69,5348.16,Desktop,3
2025-12-12,Laptopy,30,7520.491999999999,Desktop,3
2025-02-11,Audio,24,627.87,Mobile,5
2025-06-28,Laptopy,31,3375.36,Mobile,3
2025-03-04,Akcesoria,47,209.85,Desktop,4
2025-12-18,Akcesoria,52,196.36399999999998,Mobile,5
2025-08-19,Smartfony,18,2656.6,Mobile,5
2025-08-29,Akcesoria,52,127.46,Mobile,5
2025-02-21,Smartfony,25,2175.35,Mobile,4
2025-04-06,Audio,31,736.44,Desktop,3
2025-08-10,Smartfony,28,3037.97,Desktop,5
2025-08-19,Laptopy,51,4101.92,Mobile,5
2025-08-25,Smartfony,18,2191.97,Mobile,5
2025-05-23,Audio,35,609.88,Mobile,3
2025-06-20,Akcesoria,21,190.98,Desktop,1
2025-01-29,Akcesoria,18,176.8,Desktop,5
2025-02-05,Smartfony,20,2413.67,Mobile,4
2025-01-13,Akcesoria,37,172.9,Desktop,4
2025-06-09,Smartfony,21,3587.55,Desktop,2
2025-11-23,Audio,40,784.1959999999999,Desktop,4
2025-07-06,Smartfony,18,3168.24,Desktop,5
2025-08-31,Smartfony,25,1808.85,Mobile,5
2025-03-27,Smartfony,26,2943.59,Desktop,2
2025-10-11,Laptopy,40,3565.76,Mobile,5
2025-03-07,Akcesoria,58,202.61,Desktop,5
2025-06-19,Smartfony,25,2826.96,Desktop,4
2025-02-14,Akcesoria,28,199.62,Desktop,5
2025-03-03,Laptopy,46,4328.47,Desktop,4
2025-05-14,Akcesoria,38,155.2,Mobile,5
2025-10-11,Laptopy,54,3410.26,Mobile,5
2025-01-28,Laptopy,42,4829.37,Desktop,2
2025-04-18,Akcesoria,36,174.95,Desktop,3
2025-02-13,Smartfony,23,2570.59,Mobile,4
2025-12-06,Smartfony,18,3530.7019999999998,Mobile,5
2025-10-13,Audio,24,566.61,Mobile,5
2025-11-27,Audio,43,911.2459999999999,Desktop,4
2025-05-08,Laptopy,40,4513.99,Desktop,3
2025-12-14,Smartfony,30,2790.004,Mobile,4
2025-08-19,Akcesoria,21,101.28,Mobile,5
2025-07-09,Laptopy,30,5304.53,Desktop,4
2025-08-13,Smartfony,26,2918.04,Desktop,3
2025-10-10,Smartfony,19,2165.38,Mobile,5
2025-05-01,Akcesoria,56,157.44,Mobile,3
2025-04-26,Akcesoria,45,127.86,Mobile,4
2025-08-21,Smartfony,18,2039.88,Mobile,5
2025-09-16,Smartfony,18,2193.81,Mobile,4
2025-12-25,Smartfony,33,3803.5619999999994,Desktop,5
2025-07-17,Akcesoria,32,185.17,Desktop,3
2025-05-17,Smartfony,24,2906.58,Desktop,2
2025-11-14,Smartfony,31,4022.4519999999993,Desktop,3
2025-06-14,Akcesoria,41,126.09,Mobile,5
2025-08-13,Smartfony,30,2223.44,Mobile,5
2025-11-03,Akcesoria,41,190.75,Mobile,5
2025-08-22,Smartfony,29,2120.01,Mobile,3
2025-06-21,Smartfony,19,2910.31,Desktop,1
2025-06-01,Smartfony,27,2979.62,Desktop,4
2025-11-11,Akcesoria,40,185.164,Mobile,5
2025-06-09,Audio,40,541.86,Mobile,5
2025-04-06,Akcesoria,22,169.85,Desktop,2
2025-08-21,Laptopy,49,4001.84,Mobile,5
2025-06-29,Akcesoria,58,136.45,Mobile,5
2025-04-23,Smartfony,18,2874.04,Desktop,4
2025-11-14,Smartfony,20,4320.54,Desktop,5
2025-02-21,Audio,27,535.54,Mobile,4
2025-09-25,Smartfony,25,1816.54,Mobile,5
2025-10-22,Smartfony,21,3085.24,Desktop,5
2025-04-23,Smartfony,21,1995.12,Mobile,5
2025-04-11,Smartfony,24,2483.61,Mobile,5
2025-04-23,Smartfony,23,2939.56,Desktop,4
2025-03-22,Akcesoria,39,146.7,Mobile,5
2025-07-06,Laptopy,47,4547.91,Desktop,3
2025-04-23,Audio,58,544.2,Mobile,4
2025-01-02,Akcesoria,22,198.15,Desktop,4
2025-05-10,Laptopy,32,3492.39,Mobile,5
2025-08-08,Smartfony,28,2102.3,Mobile,5
2025-02-23,Laptopy,53,3862.02,Mobile,4
2025-12-09,Akcesoria,47,202.34199999999998,Mobile,5
2025-08-12,Smartfony,32,2862.81,Desktop,4
2025-08-13,Akcesoria,44,150.22,Desktop,2
2025-05-06,Laptopy,34,3355.99,Mobile,4
2025-05-10,Akcesoria,31,145.16,Mobile,4
2025-02-22,Laptopy,39,4489.99,Desktop,3
2025-06-21,Smartfony,20,2997.27,Desktop,5
2025-08-06,Audio,53,500.55,Mobile,5
2025-06-09,Akcesoria,56,106.02,Mobile,5
2025-07-17,Smartfony,29,2081.13,Mobile,5
2025-09-04,Audio,38,760.39,Desktop,4
2025-11-20,Laptopy,35,3712.66,Mobile,5
2025-07-22,Audio,25,735.13,Desktop,4
2025-07-03,Akcesoria,33,117.21,Mobile,5
2025-05-03,Laptopy,42,5043.38,Desktop,3
2025-09-12,Smartfony,20,2428.58,Mobile,5
2025-10-21,Smartfony,20,2207.01,Mobile,4
2025-10-07,Akcesoria,26,132.45,Mobile,4
2025-11-21,Akcesoria,34,235.06,Desktop,5
2025-04-08,Smartfony,28,1913.6,Mobile,4
2025-07-17,Smartfony,28,2674.52,Mobile,5
2025-08-28,Akcesoria,42,122.02,Mobile,5
2025-05-24,Audio,38,634.07,Mobile,5
2025-04-07,Akcesoria,54,167.11,Desktop,3
2025-07-20,Smartfony,18,3131.3,Desktop,2
2025-05-04,Smartfony,25,2715.55,Desktop,3
2025-07-06,Smartfony,19,2380.85,Mobile,5
2025-11-22,Audio,42,980.644,Desktop,3
2025-12-15,Smartfony,18,3040.6179999999995,Mobile,4
2025-09-16,Akcesoria,32,144.15,Mobile,4
2025-05-28,Smartfony,23,2132.71,Mobile,3
2025-09-09,Akcesoria,49,113.58,Mobile,5
2025-12-12,Akcesoria,56,267.98799999999994,Desktop,5
2025-05-27,Akcesoria,23,162.81,Desktop,3
2025-05-28,Smartfony,26,3129.13,Desktop,4
2025-12-18,Smartfony,27,3490.5499999999997,Mobile,5
2025-07-18,Smartfony,28,2156.13,Mobile,5
2025-11-04,Audio,34,855.316,Mobile,5
2025-05-08,Audio,51,568.91,Mobile,5
2025-02-08,Akcesoria,58,124.56,Mobile,5
2025-12-04,Akcesoria,46,218.428,Mobile,3
2025-12-26,Akcesoria,26,165.018,Mobile,5
2025-05-09,Smartfony,27,2155.82,Mobile,5
2025-09-24,Audio,30,707.62,Desktop,1
2025-05-31,Laptopy,47,5042.09,Desktop,4
2025-10-25,Laptopy,33,5246.17,Desktop,5
2025-04-09,Akcesoria,20,195.79,Desktop,4
2025-09-20,Smartfony,26,2305.94,Mobile,5
2025-09-09,Smartfony,22,2929.93,Desktop,5
2025-05-24,Akcesoria,18,152.61,Desktop,4
2025-12-12,Smartfony,23,2690.044,Mobile,5
2025-04-22,Akcesoria,53,161.5,Mobile,5
2025-03-01,Smartfony,18,2540.98,Desktop,5
2025-01-02,Laptopy,47,3286.2,Mobile,5
2025-10-31,Smartfony,30,2536.15,Mobile,5
2025-09-11,Laptopy,39,3683.89,Mobile,4
2025-05-20,Akcesoria,52,148.92,Mobile,5
2025-02-06,Smartfony,24,2385.71,Mobile,5
2025-06-09,Akcesoria,57,157.04,Mobile,3
2025-01-09,Laptopy,45,3718.17,Mobile,5
2025-08-21,Akcesoria,51,144.95,Mobile,5
2025-04-09,Audio,21,676.55,Desktop,2
2025-05-27,Akcesoria,41,143.79,Mobile,5
2025-10-31,Smartfony,32,2150.97,Mobile,5
2025-07-27,Smartfony,30,2136.72,Mobile,5
2025-05-11,Smartfony,28,3223.68,Desktop,3
2025-06-01,Akcesoria,50,148.52,Mobile,5
2025-02-23,Smartfony,35,2672.11,Mobile,5
2025-04-30,Laptopy,42,5449.31,Desktop,2
2025-06-10,Akcesoria,23,193.76,Desktop,5
2025-04-26,Laptopy,45,2911.82,Mobile,5
2025-03-16,Akcesoria,42,207.42,Desktop,3
2025-04-23,Smartfony,23,2479.49,Mobile,5
2025-04-14,Smartfony,22,2058.53,Mobile,5
2025-12-06,Akcesoria,40,204.302,Mobile,4
2025-09-11,Laptopy,35,3185.09,Mobile,4
2025-08-15,Akcesoria,19,189.28,Desktop,2
2025-04-22,Laptopy,45,3073.49,Mobile,4
2025-04-09,Smartfony,29,2047.95,Mobile,5
2025-06-02,Akcesoria,54,190.65,Desktop,4
2025-12-15,Akcesoria,25,274.526,Desktop,3
2025-12-04,Akcesoria,24,195.832,Mobile,4
2025-07-13,Smartfony,27,2928.46,Desktop,3
2025-11-06,Akcesoria,33,144.59199999999998,Mobile,5
2025-06-12,Laptopy,40,4716.39,Desktop,3
2025-07-27,Smartfony,25,3133.37,Desktop,5
2025-06-18,Audio,33,700.99,Desktop,4
2025-06-10,Smartfony,25,2244.36,Mobile,4
2025-03-09,Audio,25,528.86,Mobile,5
2025-10-16,Laptopy,42,3471.32,Mobile,5
2025-10-04,Smartfony,21,2268.97,Mobile,5
2025-10-31,Akcesoria,28,130.91,Mobile,5
2025-05-15,Audio,22,806.6,Desktop,2
2025-07-14,Akcesoria,44,101.9,Mobile,3
2025-05-08,Akcesoria,29,126.81,Mobile,5
2025-02-02,Akcesoria,34,166.95,Desktop,3
2025-06-25,Akcesoria,23,138.29,Mobile,4
2025-01-22,Akcesoria,50,181.16,Desktop,1
2025-08-26,Smartfony,31,2655.55,Mobile,3
2025-06-07,Laptopy,40,4380.46,Mobile,5
2025-02-07,Smartfony,18,2056.73,Mobile,4
2025-08-18,Audio,50,540.03,Mobile,5
2025-12-31,Audio,58,1024.492,Desktop,4
2025-02-20,Smartfony,28,2050.55,Mobile,5
2025-09-21,Akcesoria,36,144.43,Mobile,3
2025-10-10,Audio,39,525.63,Mobile,5
2025-01-27,Smartfony,22,1983.09,Mobile,3
2025-08-14,Akcesoria,56,175.81,Desktop,5
2025-10-04,Audio,21,480.14,Mobile,5
2025-10-13,Smartfony,24,3259.16,Desktop,4
2025-04-07,Akcesoria,50,208.52,Desktop,4
2025-10-11,Smartfony,33,2311.2,Mobile,5
2025-11-13,Audio,32,1017.3519999999999,Desktop,4
2025-10-31,Audio,40,549.15,Mobile,5
2025-05-27,Audio,31,610.93,Mobile,5
2025-01-04,Laptopy,51,4064.28,Mobile,4
2025-02-04,Audio,40,713.06,Desktop,4
2025-07-11,Akcesoria,36,183.79,Desktop,5
2025-02-18,Laptopy,45,3861.06,Mobile,5
2025-01-17,Akcesoria,37,162.93,Desktop,4
2025-06-21,Smartfony,33,2553.15,Mobile,5
2025-08-08,Akcesoria,46,161.02,Mobile,4
2025-06-07,Smartfony,27,2541.26,Mobile,5
2025-02-15,Smartfony,23,2688.6,Desktop,2
2025-01-06,Smartfony,27,2507.5,Desktop,4
2025-04-09,Akcesoria,19,145.63,Mobile,4
2025-08-21,Laptopy,41,3295.92,Mobile,4
2025-02-06,Akcesoria,23,139.31,Mobile,5
2025-10-07,Smartfony,27,2633.79,Mobile,5
2025-12-15,Laptopy,42,4672.107999999999,Mobile,3
2025-10-29,Akcesoria,58,174.34,Desktop,4
2025-06-30,Akcesoria,22,139.15,Mobile,3
2025-04-05,Laptopy,44,3081.0,Mobile,4
2025-04-09,Akcesoria,44,123.63,Mobile,5
2025-07-07,Audio,29,721.49,Desktop,4
2025-04-26,Akcesoria,24,175.49,Desktop,3
2025-07-10,Smartfony,18,2402.1,Mobile,4
2025-09-10,Smartfony,20,3691.49,Desktop,2
2025-06-10,Audio,42,545.95,Mobile,4
2025-09-13,Smartfony,21,2039.57,Mobile,5
2025-11-19,Audio,52,875.126,Mobile,5
2025-05-08,Akcesoria,33,111.17,Mobile,4
2025-01-18,Audio,19,456.67,Mobile,5
2025-10-08,Akcesoria,41,171.07,Desktop,5
2025-08-11,Audio,27,703.03,Desktop,1
2025-02-23,Laptopy,35,4552.37,Desktop,5
2025-02-27,Akcesoria,56,134.53,Mobile,5
2025-11-19,Laptopy,45,5193.86,Mobile,3
2025-12-26,Laptopy,41,7318.611999999999,Desktop,3
2025-06-23,Akcesoria,37,136.37,Mobile,5
2025-10-07,Audio,36,506.28,Mobile,5
2025-04-24,Audio,37,600.88,Mobile,3
2025-10-15,Akcesoria,52,167.73,Desktop,3
2025-12-08,Laptopy,36,4125.744,Mobile,5
2025-05-31,Laptopy,31,4082.38,Mobile,5
2025-05-07,Akcesoria,51,197.13,Desktop,4
2025-06-04,Smartfony,29,2051.93,Mobile,5
2025-09-30,Smartfony,19,2150.23,Mobile,4
2025-04-14,Laptopy,53,3233.23,Mobile,5
2025-10-26,Smartfony,18,2331.66,Mobile,5
2025-09-03,Smartfony,37,3433.01,Desktop,4
2025-06-25,Smartfony,30,2425.72,Mobile,4
2025-02-08,Smartfony,35,2508.93,Mobile,5
2025-06-19,Smartfony,18,3204.93,Desktop,5
2025-09-04,Audio,19,719.99,Desktop,4
2025-01-26,Laptopy,43,5233.34,Desktop,4
2025-12-21,Laptopy,40,5457.214,Mobile,4
2025-11-02,Akcesoria,39,219.226,Mobile,5
2025-01-13,Smartfony,26,2885.11,Desktop,4
2025-11-12,Audio,53,861.994,Desktop,4
2025-11-09,Akcesoria,51,210.952,Mobile,5
2025-02-05,Smartfony,21,2337.44,Mobile,5
2025-06-22,Laptopy,40,3481.58,Mobile,4
2025-01-20,Audio,18,705.59,Desktop,5
2025-11-17,Audio,21,970.5919999999999,Mobile,4
2025-09-21,Laptopy,42,3343.12,Mobile,4
2025-05-22,Akcesoria,36,122.2,Mobile,4
2025-05-23,Smartfony,29,3021.32,Desktop,4
2025-04-02,Audio,18,790.83,Desktop,5
2025-12-20,Smartfony,29,3947.4399999999996,Mobile,5
2025-11-18,Audio,59,1063.2160000000001,Desktop,5
2025-10-15,Akcesoria,49,160.94,Desktop,4
2025-08-03,Akcesoria,49,164.56,Mobile,4
2025-12-08,Akcesoria,23,188.594,Mobile,5
2025-02-20,Smartfony,19,2040.57,Mobile,4
2025-06-02,Smartfony,24,2730.15,Desktop,3
2025-07-05,Smartfony,23,2459.08,Mobile,5
2025-03-04,Smartfony,26,3059.71,Desktop,3
2025-07-09,Akcesoria,42,185.18,Desktop,1
2025-05-05,Laptopy,39,4114.6,Mobile,5
2025-05-30,Smartfony,18,2799.46,Desktop,4
2025-11-10,Audio,46,870.758,Mobile,5
2025-02-27,Audio,26,508.85,Mobile,5
2025-12-08,Audio,44,1189.776,Desktop,4
2025-11-01,Audio,43,1058.2879999999998,Desktop,5
2025-06-29,Smartfony,22,2019.94,Mobile,4
2025-06-19,Laptopy,57,3989.83,Desktop,4
2025-11-22,Akcesoria,37,268.98199999999997,Desktop,5
2025-09-28,Akcesoria,57,129.39,Mobile,5
2025-02-23,Smartfony,28,2961.11,Desktop,4
2025-04-11,Akcesoria,56,146.49,Mobile,4
2025-09-21,Smartfony,26,2502.6,Mobile,3
2025-02-22,Smartfony,23,2555.93,Mobile,5
2025-03-01,Akcesoria,49,162.38,Desktop,4
2025-04-18,Akcesoria,50,201.39,Desktop,5
2025-01-05,Akcesoria,22,126.31,Mobile,4
2025-04-13,Smartfony,19,1685.94,Mobile,5
2025-07-15,Audio,50,649.29,Desktop,5
2025-09-19,Smartfony,18,2304.51,Mobile,4
2025-12-31,Smartfony,21,3857.42,Desktop,3
2025-12-16,Audio,27,1000.608,Desktop,5
2025-02-16,Audio,35,560.3,Mobile,5
2025-12-21,Audio,55,992.7679999999999,Desktop,4
2025-11-07,Akcesoria,36,178.612,Mobile,4
2025-11-04,Akcesoria,53,225.736,Desktop,4
2025-05-24,Akcesoria,30,180.33,Desktop,4
2025-09-26,Smartfony,26,2483.76,Desktop,3
2025-05-04,Laptopy,38,3325.6,Mobile,5
2025-04-16,Laptopy,52,4428.89,Desktop,2
2025-06-07,Smartfony,18,2190.16,Mobile,3
2025-05-27,Akcesoria,44,131.8,Mobile,4
2025-05-25,Laptopy,42,3983.98,Mobile,4
2025-04-30,Smartfony,20,2645.87,Mobile,4
2025-11-15,Smartfony,25,2758.7839999999997,Mobile,5
2025-10-02,Akcesoria,59,209.89,Desktop,3
2025-04-02,Smartfony,18,2805.18,Desktop,3
2025-02-27,Audio,42,550.35,Mobile,4
2025-12-12,Laptopy,39,7006.09,Desktop,5
2025-08-17,Laptopy,48,4577.83,Mobile,5
2025-04-27,Akcesoria,50,171.87,Desktop,4
2025-11-14,Akcesoria,54,214.27,Desktop,4
2025-10-06,Laptopy,38,4196.15,Mobile,5
2025-05-07,Akcesoria,26,167.5,Desktop,3
2025-05-09,Akcesoria,35,129.58,Mobile,5
2025-02-27,Smartfony,23,1970.56,Mobile,5
2025-05-02,Audio,55,698.48,Desktop,4
2025-01-01,Akcesoria,57,122.39,Mobile,3
2025-08-27,Akcesoria,53,145.15,Mobile,5
2025-10-17,Audio,54,544.85,Mobile,3
2025-04-06,Audio,32,679.14,Desktop,4
2025-05-06,Akcesoria,45,149.94,Mobile,5
2025-04-28,Akcesoria,35,138.82,Mobile,4
2025-02-17,Akcesoria,51,152.31,Desktop,5
2025-03-30,Akcesoria,39,193.8,Desktop,1
2025-08-25,Akcesoria,28,137.77,Mobile,5
2025-09-29,Akcesoria,30,155.86,Mobile,5
2025-07-08,Smartfony,33,2280.98,Mobile,4
2025-07-11,Audio,21,492.5,Mobile,4
2025-03-10,Audio,39,527.74,Mobile,5
2025-10-05,Smartfony,20,3200.98,Desktop,2
2025-12-15,Akcesoria,41,235.81599999999997,Desktop,3
2025-09-04,Smartfony,25,2889.93,Desktop,3
2025-03-17,Laptopy,38,3511.32,Mobile,5
2025-06-03,Akcesoria,18,162.76,Desktop,4
2025-05-24,Smartfony,33,2060.92,Mobile,4
2025-03-27,Akcesoria,55,182.59,Desktop,3
2025-07-04,Akcesoria,55,198.04,Desktop,3
2025-10-12,Akcesoria,38,139.76,Mobile,4
2025-08-08,Smartfony,28,2988.53,Desktop,4
2025-03-10,Smartfony,18,2042.18,Mobile,5
2025-02-16,Akcesoria,24,196.43,Desktop,3
2025-04-04,Audio,20,566.01,Mobile,4
2025-08-26,Akcesoria,37,124.4,Mobile,4
2025-07-23,Smartfony,33,3224.66,Desktop,5
2025-08-06,Akcesoria,18,143.39,Mobile,5
2025-12-07,Akcesoria,21,234.92,Desktop,5
2025-02-08,Akcesoria,29,133.48,Mobile,4
2025-04-10,Smartfony,23,2876.81,Desktop,2
2025-10-16,Akcesoria,44,219.5,Desktop,3
2025-09-11,Akcesoria,59,142.98,Mobile,4
2025-08-10,Audio,40,551.21,Mobile,5
2025-12-23,Laptopy,48,5304.698,Mobile,5
2025-01-23,Akcesoria,41,155.69,Mobile,5
2025-09-07,Audio,42,535.0,Mobile,5
2025-01-10,Smartfony,19,2852.52,Desktop,4
2025-09-03,Audio,49,770.66,Desktop,4
2025-11-21,Akcesoria,49,248.33199999999997,Desktop,3
2025-04-10,Smartfony,28,2732.53,Desktop,2
2025-10-17,Laptopy,51,4294.13,Desktop,4
2025-06-29,Akcesoria,59,202.94,Desktop,1
2025-08-11,Smartfony,19,2282.91,Mobile,5
2025-09-07,Akcesoria,38,171.16,Desktop,3
2025-05-27,Laptopy,35,4706.27,Desktop,4
2025-04-06,Akcesoria,26,147.11,Mobile,5
2025-09-14,Smartfony,26,2176.65,Mobile,4
2025-11-21,Audio,22,634.242,Mobile,5
2025-01-04,Audio,59,559.55,Mobile,4
2025-01-16,Audio,40,792.5,Desktop,4
2025-10-07,Akcesoria,34,152.12,Mobile,5
2025-12-02,Smartfony,18,2954.238,Mobile,5
2025-09-04,Akcesoria,29,199.04,Desktop,5
2025-09-15,Smartfony,27,2303.24,Mobile,4
2025-06-09,Smartfony,28,2560.29,Mobile,5
2025-12-06,Laptopy,58,5361.258,Mobile,5
2025-06-01,Laptopy,32,4191.36,Desktop,5
2025-06-27,Akcesoria,46,206.2,Desktop,3
2025-06-12,Akcesoria,54,135.78,Mobile,5
2025-02-02,Laptopy,54,5030.72,Desktop,4
2025-06-28,Smartfony,21,1913.99,Mobile,4
2025-04-11,Audio,40,750.32,Desktop,4
2025-09-25,Laptopy,54,5241.17,Desktop,3
2025-11-19,Laptopy,38,7803.781999999999,Desktop,4
2025-03-06,Smartfony,25,2600.1,Mobile,5
2025-06-17,Akcesoria,35,188.31,Desktop,4
2025-11-26,Akcesoria,47,219.562,Desktop,4
2025-02-12,Smartfony,31,2283.07,Mobile,5
2025-02-13,Smartfony,23,2851.87,Desktop,2
2025-10-12,Akcesoria,27,138.52,Mobile,4
