Wiek,Płeć,Kanał_Zakupów,Wydatki_PLN,Liczba_Zakupów
25,Mężczyzna,Stacjonarny,197.47,2
64,Mężczyzna,Online,104.14,2
52,Kobieta,Online,202.26,3
31,Kobieta,Stacjonarny,280.37,7
34,Kobieta,Online,195.18,6
53,Mężczyzna,Online,188.1,4
57,Mężczyzna,Online,143.03,5
21,Mężczyzna,Online,253.76,8
19,Kobieta,Online,334.79,8
23,Mężczyzna,Online,256.64,5
59,Kobieta,Online,233.56,6
21,Kobieta,Online,316.86,5
46,Kobieta,Stacjonarny,227.49,6
35,Mężczyzna,Stacjonarny,199.9,2
43,Kobieta,Online,181.66,2
61,Mężczyzna,Online,135.26,5
51,Mężczyzna,Stacjonarny,266.13,4
27,Kobieta,Online,256.71,4
53,Mężczyzna,Online,167.56,4
31,Kobieta,Stacjonarny,150.05,4
48,Kobieta,Online,209.25,5
32,Kobieta,Stacjonarny,195.22,2
25,Kobieta,Stacjonarny,192.19,6
31,Mężczyzna,Online,259.69,6
40,Kobieta,Online,124.93,3
57,Mężczyzna,Online,121.17,2
38,Mężczyzna,Stacjonarny,317.86,5
33,Mężczyzna,Stacjonarny,195.74,6
62,Mężczyzna,Stacjonarny,173.3,4
35,Mężczyzna,Online,179.5,4
64,Kobieta,Stacjonarny,377.38,11
41,Kobieta,Stacjonarny,203.88,3
43,Mężczyzna,Stacjonarny,282.36,6
42,Mężczyzna,Stacjonarny,238.84,5
62,Kobieta,Stacjonarny,254.6,5
58,Kobieta,Stacjonarny,297.02,8
46,Kobieta,Online,114.63,1
32,Mężczyzna,Online,187.35,5
62,Kobieta,Online,150.31,4
18,Kobieta,Stacjonarny,132.28,4
42,Kobieta,Online,196.77,2
24,Kobieta,Stacjonarny,232.15,3
26,Mężczyzna,Stacjonarny,207.29,7
41,Kobieta,Stacjonarny,285.22,6
18,Mężczyzna,Online,287.82,6
61,Kobieta,Online,212.2,7
25,Mężczyzna,Online,259.94,8
41,Kobieta,Stacjonarny,208.39,6
28,Kobieta,Stacjonarny,265.22,8
34,Mężczyzna,Stacjonarny,189.63,4
25,Mężczyzna,Online,276.25,5
52,Mężczyzna,Stacjonarny,284.76,9
52,Mężczyzna,Stacjonarny,287.66,7
50,Mężczyzna,Online,153.38,3
22,Kobieta,Stacjonarny,236.08,5
59,Mężczyzna,Online,138.34,3
56,Kobieta,Online,217.43,6
58,Mężczyzna,Stacjonarny,287.41,7
45,Mężczyzna,Online,245.25,7
24,Mężczyzna,Stacjonarny,149.8,4
26,Mężczyzna,Stacjonarny,225.52,5
25,Kobieta,Online,305.92,6
29,Mężczyzna,Online,260.24,6
51,Kobieta,Online,164.76,4
50,Mężczyzna,Online,236.79,5
40,Mężczyzna,Online,229.56,4
41,Kobieta,Online,155.52,1
54,Mężczyzna,Online,154.15,1
52,Mężczyzna,Online,173.95,5
61,Mężczyzna,Online,232.73,6
57,Mężczyzna,Stacjonarny,317.21,6
39,Kobieta,Stacjonarny,281.08,9
44,Kobieta,Online,224.29,3
52,Mężczyzna,Online,231.54,6
18,Kobieta,Stacjonarny,140.37,1
52,Mężczyzna,Stacjonarny,254.27,5
54,Kobieta,Stacjonarny,276.07,5
64,Kobieta,Stacjonarny,235.0,7
31,Mężczyzna,Online,255.9,8
20,Mężczyzna,Online,342.47,7
18,Kobieta,Online,302.35,8
22,Mężczyzna,Online,306.7,5
43,Kobieta,Online,119.4,2
31,Kobieta,Online,309.82,9
56,Kobieta,Online,177.56,4
44,Kobieta,Stacjonarny,207.25,6
26,Kobieta,Stacjonarny,195.01,6
32,Mężczyzna,Online,185.6,4
32,Mężczyzna,Stacjonarny,255.92,7
43,Kobieta,Online,204.08,3
59,Mężczyzna,Stacjonarny,238.45,6
30,Mężczyzna,Online,243.28,8
49,Kobieta,Stacjonarny,292.72,6
56,Mężczyzna,Stacjonarny,267.26,4
49,Mężczyzna,Online,146.11,3
21,Kobieta,Online,291.1,9
47,Kobieta,Online,170.34,3
54,Mężczyzna,Online,103.76,3
40,Mężczyzna,Online,284.84,6
56,Kobieta,Stacjonarny,280.29,9
62,Mężczyzna,Online,166.87,6
32,Mężczyzna,Stacjonarny,200.18,4
60,Mężczyzna,Stacjonarny,325.88,9
46,Mężczyzna,Online,333.49,7
53,Mężczyzna,Online,210.45,7
30,Kobieta,Online,208.81,7
49,Kobieta,Stacjonarny,241.82,6
24,Mężczyzna,Online,282.22,7
39,Mężczyzna,Stacjonarny,134.02,1
45,Kobieta,Stacjonarny,253.38,8
19,Mężczyzna,Online,294.96,7
59,Mężczyzna,Online,230.55,4
62,Kobieta,Stacjonarny,322.88,9
23,Mężczyzna,Stacjonarny,200.45,4
45,Mężczyzna,Online,273.09,7
45,Mężczyzna,Online,293.93,7
61,Mężczyzna,Stacjonarny,273.12,4
61,Kobieta,Online,189.23,3
37,Mężczyzna,Stacjonarny,153.31,2
47,Kobieta,Online,149.46,2
28,Kobieta,Online,221.47,6
45,Mężczyzna,Stacjonarny,222.26,5
42,Kobieta,Online,176.16,3
56,Kobieta,Online,183.56,3
50,Mężczyzna,Online,183.45,2
18,Kobieta,Online,322.84,6
44,Kobieta,Stacjonarny,219.01,5
30,Mężczyzna,Online,158.53,3
58,Mężczyzna,Online,185.03,6
20,Kobieta,Stacjonarny,189.43,2
56,Mężczyzna,Stacjonarny,227.52,7
23,Kobieta,Online,271.3,7
25,Mężczyzna,Online,219.49,7
44,Mężczyzna,Stacjonarny,251.19,5
26,Mężczyzna,Stacjonarny,307.32,9
54,Mężczyzna,Online,117.78,2
50,Mężczyzna,Online,179.35,5
59,Mężczyzna,Online,150.44,2
61,Kobieta,Stacjonarny,254.67,8
41,Kobieta,Stacjonarny,272.8,7
32,Mężczyzna,Stacjonarny,235.71,6
49,Kobieta,Stacjonarny,281.95,6
49,Mężczyzna,Stacjonarny,249.22,8
41,Kobieta,Online,169.62,5
58,Mężczyzna,Online,135.41,4
29,Kobieta,Online,282.35,5
56,Kobieta,Online,191.83,5
19,Mężczyzna,Stacjonarny,238.41,3
20,Kobieta,Online,286.73,9
54,Mężczyzna,Online,142.68,5
34,Kobieta,Online,219.12,7
19,Kobieta,Online,300.09,7
19,Mężczyzna,Online,305.91,9
45,Kobieta,Online,246.7,7
40,Mężczyzna,Stacjonarny,188.06,3
54,Mężczyzna,Online,141.96,1
49,Mężczyzna,Stacjonarny,240.41,6
50,Mężczyzna,Online,257.6,8
18,Mężczyzna,Online,252.25,8
36,Mężczyzna,Online,253.2,5
19,Kobieta,Online,295.7,6
61,Kobieta,Stacjonarny,302.43,7
43,Kobieta,Online,284.08,5
49,Kobieta,Online,264.98,8
23,Mężczyzna,Stacjonarny,172.22,4
49,Mężczyzna,Online,118.58,3
21,Kobieta,Online,245.36,7
28,Kobieta,Stacjonarny,209.03,5
34,Kobieta,Stacjonarny,203.53,7
55,Mężczyzna,Online,266.22,6
41,Mężczyzna,Stacjonarny,232.75,7
22,Kobieta,Stacjonarny,220.15,4
51,Mężczyzna,Online,206.19,5
23,Mężczyzna,Stacjonarny,182.13,6
39,Kobieta,Online,150.51,3
28,Mężczyzna,Online,251.86,6
33,Mężczyzna,Online,372.69,11
50,Kobieta,Online,150.22,5
26,Kobieta,Stacjonarny,129.41,1
23,Kobieta,Online,344.96,8
33,Kobieta,Stacjonarny,245.68,7
46,Mężczyzna,Stacjonarny,249.5,6
20,Mężczyzna,Online,329.51,8
37,Kobieta,Stacjonarny,190.74,6
53,Kobieta,Online,188.24,4
36,Kobieta,Online,273.21,6
43,Kobieta,Stacjonarny,320.41,9
20,Mężczyzna,Online,228.26,7
36,Kobieta,Online,286.23,7
37,Kobieta,Online,247.77,5
49,Kobieta,Online,209.02,3
24,Mężczyzna,Online,264.69,7
58,Kobieta,Online,124.61,3
50,Mężczyzna,Stacjonarny,288.52,6
57,Kobieta,Online,151.21,3
56,Mężczyzna,Online,141.81,3
35,Mężczyzna,Online,272.92,8
57,Kobieta,Online,214.07,7
18,Kobieta,Stacjonarny,189.16,6
28,Mężczyzna,Stacjonarny,249.18,5
45,Mężczyzna,Stacjonarny,297.04,7
42,Kobieta,Online,272.33,4
40,Kobieta,Online,203.87,6
48,Mężczyzna,Online,245.56,8
47,Mężczyzna,Stacjonarny,252.47,8
59,Kobieta,Online,246.54,6
52,Mężczyzna,Online,190.05,4
24,Kobieta,Stacjonarny,183.74,3
33,Mężczyzna,Online,217.95,4
43,Kobieta,Online,225.07,7
19,Kobieta,Online,296.17,7
18,Kobieta,Stacjonarny,205.44,3
29,Mężczyzna,Online,266.47,7
22,Kobieta,Stacjonarny,220.84,5
54,Kobieta,Stacjonarny,249.1,6
49,Kobieta,Online,167.6,3
26,Kobieta,Stacjonarny,163.61,5
58,Mężczyzna,Online,219.0,7
52,Kobieta,Online,213.81,5
36,Mężczyzna,Stacjonarny,147.77,5
33,Mężczyzna,Stacjonarny,259.87,6
20,Mężczyzna,Stacjonarny,265.22,8
37,Kobieta,Online,203.86,6
41,Kobieta,Online,235.95,4
50,Kobieta,Online,181.06,5
41,Kobieta,Online,247.63,4
28,Kobieta,Online,208.36,4
25,Mężczyzna,Online,259.64,7
53,Kobieta,Online,231.75,3
55,Kobieta,Online,236.93,5
57,Mężczyzna,Online,199.56,4
37,Kobieta,Online,218.94,7
52,Mężczyzna,Stacjonarny,190.3,3
42,Mężczyzna,Online,189.7,4
52,Kobieta,Stacjonarny,235.23,4
42,Mężczyzna,Stacjonarny,206.09,5
46,Mężczyzna,Online,212.38,7
35,Mężczyzna,Stacjonarny,206.32,6
63,Kobieta,Online,174.38,6
35,Kobieta,Online,285.61,5
19,Mężczyzna,Online,261.24,6
52,Kobieta,Online,139.69,1
33,Kobieta,Online,214.43,3
58,Kobieta,Online,203.34,4
53,Mężczyzna,Stacjonarny,283.12,7
50,Kobieta,Stacjonarny,266.24,4
21,Mężczyzna,Online,324.53,9
50,Mężczyzna,Stacjonarny,242.55,4
31,Mężczyzna,Online,329.59,9
38,Mężczyzna,Online,262.73,5
37,Mężczyzna,Stacjonarny,123.06,1
25,Mężczyzna,Online,334.53,10
24,Kobieta,Online,234.32,4
20,Mężczyzna,Online,233.64,6
34,Kobieta,Online,260.95,5
50,Kobieta,Stacjonarny,180.47,2
29,Kobieta,Online,224.68,5
39,Mężczyzna,Stacjonarny,290.28,7
39,Kobieta,Online,249.75,7
63,Mężczyzna,Online,199.99,5
47,Mężczyzna,Online,181.22,4
55,Mężczyzna,Stacjonarny,198.47,5
55,Mężczyzna,Online,215.77,4
62,Mężczyzna,Stacjonarny,311.21,9
25,Mężczyzna,Stacjonarny,235.4,7
44,Mężczyzna,Online,223.36,4
44,Mężczyzna,Stacjonarny,199.32,6
51,Mężczyzna,Stacjonarny,349.51,6
38,Mężczyzna,Stacjonarny,245.19,5
47,Kobieta,Online,200.54,6
50,Kobieta,Online,193.22,3
45,Kobieta,Online,218.48,5
64,Kobieta,Online,207.78,6
50,Mężczyzna,Online,207.59,5
22,Mężczyzna,Stacjonarny,228.34,6
36,Mężczyzna,Online,241.06,8
21,Kobieta,Online,268.01,5
52,Mężczyzna,Stacjonarny,279.65,4
34,Mężczyzna,Stacjonarny,242.13,7
61,Mężczyzna,Online,165.71,5
45,Mężczyzna,Stacjonarny,210.03,5
47,Mężczyzna,Online,221.17,7
46,Kobieta,Online,213.13,5
63,Mężczyzna,Stacjonarny,253.81,6
23,Kobieta,Online,233.8,7
52,Kobieta,Online,211.42,3
58,Mężczyzna,Online,202.0,5
54,Kobieta,Online,175.6,4
41,Mężczyzna,Online,199.3,5
46,Kobieta,Online,176.79,6
63,Mężczyzna,Stacjonarny,291.29,6
48,Kobieta,Stacjonarny,213.84,3
52,Mężczyzna,Online,284.65,5
50,Mężczyzna,Online,183.59,6
38,Kobieta,Online,132.99,4
49,Mężczyzna,Online,201.29,6
40,Mężczyzna,Stacjonarny,227.08,7
50,Kobieta,Online,244.47,7
20,Kobieta,Online,286.53,5
35,Kobieta,Stacjonarny,186.65,2
42,Kobieta,Stacjonarny,222.54,4
59,Mężczyzna,Stacjonarny,281.1,9
48,Mężczyzna,Online,118.41,2
20,Kobieta,Online,328.54,8
57,Kobieta,Online,149.25,2
63,Mężczyzna,Online,224.18,4
41,Kobieta,Stacjonarny,247.7,7
49,Kobieta,Stacjonarny,273.18,5
64,Mężczyzna,Stacjonarny,323.98,7
39,Mężczyzna,Stacjonarny,250.93,6
40,Mężczyzna,Online,251.92,7
19,Mężczyzna,Stacjonarny,181.42,3
44,Mężczyzna,Online,229.89,4
59,Mężczyzna,Online,154.0,4
19,Kobieta,Online,263.76,8
43,Kobieta,Online,296.09,8
34,Kobieta,Online,207.67,5
57,Kobieta,Stacjonarny,270.17,8
50,Mężczyzna,Online,204.54,3
26,Kobieta,Online,247.57,7
60,Kobieta,Online,195.58,4
56,Kobieta,Stacjonarny,285.59,9
46,Kobieta,Online,172.97,5
59,Mężczyzna,Stacjonarny,272.05,5
43,Kobieta,Online,174.21,5
52,Mężczyzna,Stacjonarny,285.54,5
42,Kobieta,Online,227.06,6
41,Mężczyzna,Stacjonarny,235.29,7
30,Mężczyzna,Stacjonarny,236.36,7
24,Kobieta,Online,253.98,7
53,Mężczyzna,Online,229.06,7
62,Kobieta,Online,132.06,2
37,Kobieta,Online,288.98,8
18,Mężczyzna,Online,257.96,5
25,Kobieta,Stacjonarny,132.15,2
63,Kobieta,Online,154.36,3
33,Mężczyzna,Online,224.82,6
31,Kobieta,Online,234.06,7
29,Mężczyzna,Online,261.77,5
40,Kobieta,Stacjonarny,273.91,6
32,Mężczyzna,Online,237.33,6
45,Mężczyzna,Stacjonarny,212.34,6
51,Mężczyzna,Stacjonarny,206.94,3
19,Mężczyzna,Stacjonarny,169.27,2
49,Kobieta,Stacjonarny,172.49,3
40,Mężczyzna,Online,195.99,2
39,Kobieta,Stacjonarny,277.76,5
42,Kobieta,Online,187.07,6
39,Kobieta,Online,252.65,5
39,Mężczyzna,Stacjonarny,178.94,2
59,Kobieta,Stacjonarny,338.84,10
23,Mężczyzna,Stacjonarny,269.5,4
32,Mężczyzna,Online,268.64,5
60,Mężczyzna,Online,254.65,6
54,Kobieta,Stacjonarny,272.23,7
50,Mężczyzna,Online,230.74,3
25,Kobieta,Stacjonarny,250.48,5
61,Kobieta,Stacjonarny,279.19,8
61,Kobieta,Online,110.4,1
22,Kobieta,Online,301.56,5
56,Mężczyzna,Online,166.13,5
21,Mężczyzna,Online,256.6,5
23,Kobieta,Stacjonarny,207.92,5
62,Kobieta,Online,192.65,6
49,Kobieta,Stacjonarny,254.01,5
47,Kobieta,Online,232.93,7
64,Mężczyzna,Stacjonarny,249.73,4
52,Kobieta,Online,193.29,5
57,Kobieta,Online,216.46,6
33,Kobieta,Online,313.41,7
30,Mężczyzna,Stacjonarny,295.06,8
59,Mężczyzna,Stacjonarny,285.32,5
47,Mężczyzna,Stacjonarny,277.6,6
36,Mężczyzna,Online,314.26,6
34,Mężczyzna,Online,213.17,6
36,Kobieta,Online,260.19,6
45,Mężczyzna,Online,243.23,4
43,Mężczyzna,Online,275.41,8
54,Mężczyzna,Stacjonarny,212.51,7
43,Mężczyzna,Stacjonarny,198.42,2
40,Mężczyzna,Stacjonarny,230.86,3
26,Mężczyzna,Stacjonarny,217.11,7
29,Mężczyzna,Online,297.41,7
18,Mężczyzna,Online,300.7,9
18,Mężczyzna,Online,273.94,4
64,Mężczyzna,Stacjonarny,294.66,8
51,Kobieta,Online,209.54,4
49,Mężczyzna,Online,272.3,7
42,Kobieta,Online,226.63,6
57,Mężczyzna,Online,167.18,2
62,Mężczyzna,Stacjonarny,291.98,9
18,Mężczyzna,Stacjonarny,193.94,4
33,Kobieta,Online,179.66,5
56,Kobieta,Stacjonarny,261.37,8
22,Kobieta,Stacjonarny,189.97,4
39,Mężczyzna,Online,205.75,6
46,Kobieta,Online,251.42,6
20,Kobieta,Online,243.57,8
29,Kobieta,Online,270.72,5
43,Mężczyzna,Stacjonarny,230.09,7
33,Mężczyzna,Online,246.81,4
54,Kobieta,Stacjonarny,274.47,6
39,Kobieta,Online,175.2,3
46,Mężczyzna,Online,217.67,5
31,Mężczyzna,Online,339.06,8
45,Mężczyzna,Online,150.23,4
22,Kobieta,Online,267.7,4
64,Mężczyzna,Stacjonarny,322.93,8
47,Kobieta,Online,219.56,7
63,Mężczyzna,Stacjonarny,303.52,9
22,Mężczyzna,Online,174.97,5
29,Kobieta,Online,276.43,4
33,Kobieta,Online,212.03,3
43,Mężczyzna,Online,229.9,7
43,Mężczyzna,Online,216.32,4
38,Mężczyzna,Online,321.13,9
56,Mężczyzna,Online,206.87,6
53,Mężczyzna,Online,188.0,6
50,Mężczyzna,Online,139.61,5
47,Kobieta,Online,212.35,4
54,Mężczyzna,Stacjonarny,290.93,6
40,Kobieta,Stacjonarny,226.78,3
27,Kobieta,Online,237.27,6
22,Mężczyzna,Online,247.1,7
53,Kobieta,Stacjonarny,277.41,8
51,Kobieta,Stacjonarny,282.38,5
48,Kobieta,Online,259.45,7
27,Mężczyzna,Stacjonarny,164.2,2
36,Kobieta,Online,256.04,4
49,Kobieta,Online,197.63,6
18,Kobieta,Stacjonarny,182.31,2
22,Kobieta,Online,286.07,6
62,Kobieta,Stacjonarny,290.31,6
21,Kobieta,Stacjonarny,213.15,5
33,Mężczyzna,Online,200.2,7
41,Kobieta,Online,192.51,4
33,Kobieta,Online,301.93,6
19,Kobieta,Online,268.68,6
45,Kobieta,Stacjonarny,252.24,8
49,Mężczyzna,Online,244.69,8
44,Mężczyzna,Online,233.54,3
37,Kobieta,Stacjonarny,245.86,7
41,Kobieta,Online,258.28,4
29,Kobieta,Stacjonarny,123.33,5
52,Mężczyzna,Online,175.4,3
50,Mężczyzna,Stacjonarny,268.74,5
50,Mężczyzna,Online,255.51,4
60,Kobieta,Online,177.64,6
54,Mężczyzna,Online,156.21,2
29,Kobieta,Online,219.78,7
20,Kobieta,Stacjonarny,225.35,4
18,Kobieta,Stacjonarny,177.29,6
50,Kobieta,Stacjonarny,249.71,6
57,Mężczyzna,Online,207.1,7
27,Mężczyzna,Online,141.44,5
60,Kobieta,Online,255.01,4
61,Mężczyzna,Online,143.26,3
46,Mężczyzna,Stacjonarny,251.68,7
30,Mężczyzna,Online,181.81,2
29,Mężczyzna,Online,235.6,6
48,Mężczyzna,Online,254.79,5
63,Mężczyzna,Stacjonarny,199.35,5
19,Mężczyzna,Stacjonarny,233.05,7
52,Kobieta,Stacjonarny,243.05,7
40,Kobieta,Online,244.49,4
34,Mężczyzna,Online,266.3,4
43,Kobieta,Stacjonarny,253.66,7
25,Mężczyzna,Stacjonarny,165.4,2
46,Kobieta,Online,195.42,2
43,Kobieta,Stacjonarny,177.54,5
27,Kobieta,Stacjonarny,223.67,5
43,Kobieta,Stacjonarny,304.08,7
51,Mężczyzna,Stacjonarny,179.02,3
58,Mężczyzna,Online,149.53,1
24,Mężczyzna,Online,257.73,7
21,Mężczyzna,Online,279.43,4
62,Kobieta,Stacjonarny,309.17,9
28,Kobieta,Stacjonarny,199.91,2
46,Mężczyzna,Stacjonarny,229.36,3
53,Mężczyzna,Online,236.63,5
42,Kobieta,Stacjonarny,260.48,7
38,Kobieta,Stacjonarny,247.56,4
53,Kobieta,Stacjonarny,260.5,6
27,Mężczyzna,Stacjonarny,243.33,5
54,Mężczyzna,Stacjonarny,231.75,5
26,Kobieta,Online,228.29,5
41,Mężczyzna,Online,252.34,6
52,Mężczyzna,Online,130.0,1
52,Kobieta,Online,198.69,2
53,Mężczyzna,Stacjonarny,243.34,5
35,Mężczyzna,Stacjonarny,163.77,6
56,Kobieta,Online,147.75,5
49,Kobieta,Online,198.14,6
41,Kobieta,Stacjonarny,273.36,5
40,Kobieta,Online,198.88,6
49,Kobieta,Online,251.04,8
54,Mężczyzna,Online,192.53,4
29,Kobieta,Online,304.92,5
30,Kobieta,Online,225.82,3
40,Mężczyzna,Online,223.05,5
42,Mężczyzna,Online,234.74,5
52,Kobieta,Stacjonarny,246.82,6
58,Kobieta,Online,218.12,3
47,Kobieta,Stacjonarny,155.7,5
34,Mężczyzna,Online,336.9,8
37,Kobieta,Online,266.81,5
42,Mężczyzna,Stacjonarny,227.06,5
39,Mężczyzna,Online,205.41,6
30,Kobieta,Online,215.34,5
36,Mężczyzna,Online,260.82,4
53,Mężczyzna,Stacjonarny,295.8,7
29,Kobieta,Online,246.0,7
58,Mężczyzna,Online,224.28,4
36,Kobieta,Stacjonarny,185.71,6
29,Mężczyzna,Online,209.15,5
26,Mężczyzna,Stacjonarny,274.53,7
24,Mężczyzna,Stacjonarny,221.64,6
45,Mężczyzna,Stacjonarny,295.87,6
31,Mężczyzna,Online,213.34,3
48,Mężczyzna,Stacjonarny,209.06,5
36,Mężczyzna,Online,220.66,6
64,Mężczyzna,Online,132.04,2
33,Kobieta,Online,270.71,8
22,Kobieta,Stacjonarny,163.95,5
52,Kobieta,Online,148.13,2
29,Kobieta,Online,258.18,4
42,Kobieta,Online,168.4,2
38,Mężczyzna,Stacjonarny,154.02,4
53,Kobieta,Stacjonarny,261.33,7
40,Mężczyzna,Stacjonarny,160.03,4
33,Kobieta,Online,273.51,5
56,Mężczyzna,Online,129.19,4
62,Mężczyzna,Stacjonarny,184.37,4
59,Kobieta,Online,165.75,4
56,Mężczyzna,Online,190.78,5
31,Kobieta,Stacjonarny,231.66,3
48,Mężczyzna,Stacjonarny,252.88,5
22,Kobieta,Stacjonarny,151.63,2
52,Mężczyzna,Stacjonarny,282.52,5
40,Kobieta,Stacjonarny,268.41,7
46,Mężczyzna,Online,161.77,3
60,Mężczyzna,Online,167.76,5
28,Kobieta,Stacjonarny,195.02,5
35,Kobieta,Online,246.32,6
64,Kobieta,Stacjonarny,269.8,4
29,Kobieta,Online,249.78,7
26,Mężczyzna,Online,285.67,9
27,Kobieta,Stacjonarny,159.45,1
61,Kobieta,Stacjonarny,301.49,6
34,Kobieta,Stacjonarny,263.65,6
55,Mężczyzna,Online,252.87,5
24,Kobieta,Stacjonarny,112.27,1
63,Kobieta,Online,160.18,2
30,Kobieta,Online,171.4,3
57,Kobieta,Online,85.1,3
59,Mężczyzna,Online,183.26,3
26,Kobieta,Online,244.03,6
44,Kobieta,Stacjonarny,249.99,6
19,Mężczyzna,Stacjonarny,207.45,7
22,Mężczyzna,Stacjonarny,243.92,6
46,Kobieta,Online,212.16,4
54,Mężczyzna,Stacjonarny,374.93,9
55,Mężczyzna,Stacjonarny,272.26,4
36,Kobieta,Stacjonarny,295.7,7
25,Mężczyzna,Online,169.19,5
62,Mężczyzna,Online,223.99,3
18,Kobieta,Online,272.77,8
39,Kobieta,Online,149.57,4
34,Kobieta,Online,256.82,5
24,Mężczyzna,Stacjonarny,185.88,3
42,Mężczyzna,Online,243.2,5
62,Mężczyzna,Online,210.44,6
21,Kobieta,Online,212.93,6
53,Mężczyzna,Online,233.1,6
23,Mężczyzna,Online,267.76,4
48,Kobieta,Online,259.11,4
36,Kobieta,Online,226.79,4
61,Mężczyzna,Stacjonarny,253.18,6
56,Kobieta,Stacjonarny,263.08,5
44,Mężczyzna,Online,219.07,7
27,Kobieta,Online,230.99,3
43,Kobieta,Stacjonarny,216.15,6
36,Kobieta,Online,185.92,2
56,Kobieta,Online,167.61,5
20,Mężczyzna,Stacjonarny,217.05,7
62,Kobieta,Online,164.51,6
30,Mężczyzna,Stacjonarny,250.36,4
45,Mężczyzna,Online,205.08,6
37,Mężczyzna,Online,175.24,6
45,Kobieta,Online,236.39,4
25,Mężczyzna,Stacjonarny,173.06,3
58,Mężczyzna,Online,170.67,5
56,Kobieta,Online,234.5,3
18,Kobieta,Stacjonarny,139.57,5
20,Mężczyzna,Online,281.59,5
30,Mężczyzna,Online,248.38,5
45,Kobieta,Stacjonarny,268.04,8
42,Mężczyzna,Online,254.21,4
50,Mężczyzna,Stacjonarny,260.55,6
55,Mężczyzna,Stacjonarny,245.59,7
23,Mężczyzna,Stacjonarny,214.93,6
61,Mężczyzna,Online,225.93,5
62,Kobieta,Stacjonarny,272.91,5
49,Kobieta,Online,191.81,6
62,Kobieta,Stacjonarny,289.53,8
64,Mężczyzna,Online,166.55,4
38,Mężczyzna,Online,176.49,4
33,Kobieta,Online,252.07,5
38,Mężczyzna,Stacjonarny,172.13,3
28,Mężczyzna,Stacjonarny,220.98,3
54,Mężczyzna,Online,158.11,4
53,Kobieta,Online,193.97,2
52,Mężczyzna,Stacjonarny,269.62,6
36,Kobieta,Online,333.16,10
37,Kobieta,Online,262.21,8
35,Kobieta,Stacjonarny,274.59,5
64,Kobieta,Online,239.87,7
58,Kobieta,Stacjonarny,285.57,9
31,Mężczyzna,Online,258.93,8
32,Kobieta,Online,202.33,5
48,Mężczyzna,Online,200.33,7
18,Kobieta,Stacjonarny,157.08,5
20,Mężczyzna,Online,258.96,8
33,Mężczyzna,Stacjonarny,290.83,5
40,Kobieta,Online,229.58,5
28,Kobieta,Stacjonarny,170.96,3
29,Kobieta,Online,307.48,5
27,Mężczyzna,Online,295.71,8
49,Mężczyzna,Stacjonarny,288.31,7
33,Kobieta,Online,162.25,4
25,Mężczyzna,Online,340.45,9
55,Kobieta,Stacjonarny,237.66,6
29,Kobieta,Online,283.62,8
41,Mężczyzna,Stacjonarny,332.95,7
45,Kobieta,Online,298.71,9
25,Mężczyzna,Stacjonarny,160.9,4
45,Kobieta,Online,154.72,5
53,Mężczyzna,Online,249.71,8
43,Kobieta,Stacjonarny,241.68,7
25,Kobieta,Stacjonarny,179.96,3
45,Mężczyzna,Online,237.35,3
45,Kobieta,Online,205.98,4
54,Mężczyzna,Stacjonarny,286.05,9
